nohup: ignoring input
Warning: no zeus installation found. Will not be able to sample using sampler = 'zeus'.
Points before clipping: 28561
Points after clipping:  28267
Points removed:         294
Data runs from 3775.29 to 3828.51 BTJD
T0 folded into data window: 3803.241260 BTJD
Number of transits in data: 12
	 Transit fit detected for instrument  TESS
	 >> ecc,omega parametrization detected for lc planet p1
	 >> (b,p) parametrization detected for lc planet p1
Fitting with dynesty using 24 cores...
WARNING: use of the use_dynesty argument is deprecated and will be removed in future juliet versions. Use the "sampler" string instead; for more information, check the API of juliet.fit: https://juliet.readthedocs.io/en/latest/user/api.html#juliet.fit
WARNING: use of the dynesty_nthreads argument is deprecated and will be removed in future juliet versions. Use the "nthreads" argument instead; for more information, check the API of juliet.fit: https://juliet.readthedocs.io/en/latest/user/api.html#juliet.fit

0it [00:00, ?it/s]
1it [00:01,  1.01s/it, bound: 0 | nc: 1 | ncall: 501 | eff(%):  0.200 | loglstar:   -inf <   -inf <    inf | logz:   -inf +/-  0.117 | dlogz:    inf >  0.509]
538it [00:22, 31.24it/s, bound: 0 | nc: 2 | ncall: 1500 | eff(%): 35.867 | loglstar:   -inf < 80378.011 <    inf | logz: 80370.223 +/-  0.122 | dlogz: 3288.155 >  0.509]
562it [00:23, 33.23it/s, bound: 0 | nc: 10 | ncall: 1591 | eff(%): 35.324 | loglstar:   -inf < 80491.705 <    inf | logz: 80483.954 +/-  0.121 | dlogz: 3174.057 >  0.509]
586it [00:23, 34.41it/s, bound: 0 | nc: 7 | ncall: 1671 | eff(%): 35.069 | loglstar:   -inf < 80668.794 <    inf | logz: 80660.716 +/-  0.127 | dlogz: 3036.593 >  0.509] 
608it [00:24, 34.47it/s, bound: 0 | nc: 3 | ncall: 1780 | eff(%): 34.157 | loglstar:   -inf < 80828.899 <    inf | logz: 80821.372 +/-  0.118 | dlogz: 2869.579 >  0.509]
631it [00:24, 35.66it/s, bound: 0 | nc: 3 | ncall: 1883 | eff(%): 33.510 | loglstar:   -inf < 80936.686 <    inf | logz: 80929.095 +/-  0.120 | dlogz: 2761.902 >  0.509]
655it [00:25, 36.44it/s, bound: 0 | nc: 1 | ncall: 1946 | eff(%): 33.659 | loglstar:   -inf < 81160.836 <    inf | logz: 81152.629 +/-  0.128 | dlogz: 2542.193 >  0.509]
678it [00:26, 35.06it/s, bound: 0 | nc: 1 | ncall: 2021 | eff(%): 33.548 | loglstar:   -inf < 81322.611 <    inf | logz: 81315.289 +/-  0.120 | dlogz: 2375.295 >  0.509]
702it [00:27, 33.25it/s, bound: 0 | nc: 4 | ncall: 2137 | eff(%): 32.850 | loglstar:   -inf < 81410.154 <    inf | logz: 81402.246 +/-  0.121 | dlogz: 2288.778 >  0.509]
726it [00:27, 31.99it/s, bound: 0 | nc: 1 | ncall: 2242 | eff(%): 32.382 | loglstar:   -inf < 81526.681 <    inf | logz: 81518.727 +/-  0.122 | dlogz: 2172.332 >  0.509]
750it [00:28, 30.74it/s, bound: 0 | nc: 10 | ncall: 2371 | eff(%): 31.632 | loglstar:   -inf < 81640.175 <    inf | logz: 81632.617 +/-  0.120 | dlogz: 2057.834 >  0.509]
